sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
748927023848,CREATINA ON POWDER MICRONISADA,simple,295,instock,294,instock,-1,39.99,39.99,no,SI
829263000189,COLLAGENO ENERGIZADO PEPTIDES AMPD BERRY - MUSCLEOLOGY,simple,3,outofstock,3,outofstock,0,34.99,34.99,no,no
745560722213,THERMOBLAST H2 (FAT BURNER) 120 CAPS (QUEMADOR MUJER) IMPULSE,simple,5,outofstock,5,outofstock,0,25.99,25.99,no,no
745560722169,PROLIVE BIO5 CHOCO COCO DE 5 LBS IMPULSE,variation,0,outofstock,0,outofstock,0,95.99,99.99,SI,SI
810121058695,EVP XTREME PATRIOT POP,variation,2,outofstock,2,outofstock,0,49.99,49.99,no,no
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),variation,608,instock,608,instock,0,57.6,5.00,SI,SI
748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,variation,28,instock,27,instock,-1,58.99,58.99,no,SI
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,variation,2167,instock,2162,instock,-5,45.6,3.80,SI,SI
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,variation,59,instock,59,instock,0,62.99,62.99,no,no
810014671659,COQ10 60 CAPSULAS,simple,0,outofstock,0,outofstock,0,25.99,25.99,no,no
748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,variation,26,instock,26,instock,0,32.99,32.99,no,no
817189028523,AMINO K.E.M SOUR CANDY- EVOGEN,variation,8,instock,8,instock,0,45.99,45.99,no,no
810121056738,ISOJECT TIRAMISU 1.76 LBS ISOJET EVOGEN,variation,1,outofstock,1,outofstock,0,58.99,58.99,no,no
829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,variation,6,outofstock,6,outofstock,0,74.99,74.99,no,no
748927026665,AMINO ENERGY FRUIT FUSION 270 G,variation,124,instock,124,instock,0,32.99,32.99,no,no
181030000144,XTEND ORIGINAL 90 SERV. SMASH APPLE,variation,9,instock,9,instock,0,59.99,59.99,no,no
705016354207,ISO 100 FRUITY PEBBLES 20 SERV. 1.34 LBS 24 SERVING DYMATIZE,variation,256,instock,254,instock,-2,56.99,56.99,no,SI
650076635226,GLUTAMINE 80SERVING UNFLAVORED,simple,453,instock,453,instock,0,29.99,29.99,no,no
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,variation,133,instock,132,instock,-1,43.2,3.60,SI,SI
705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,variation,11,instock,11,instock,0,99.99,99.99,no,no
